name,name_en,service_type,lat,lng,country_code
Silvio Romero Plaza,Silvio Romero Plaza,mall,-23.5472892,-46.5727729,BR
Auto Shopping Cidade Morumbi,Auto Shopping Cidade Morumbi,car,-23.6290122,-46.7172027,BR
Artesanal,Artesanal,restaurant,-23.5454466,-46.56614,BR
Gauchão,Gauchão,restaurant,-23.5273007,-46.5769501,BR
Ninim,Ninim,car_repair,-23.5816153,-46.579612,BR
Shell,Shell,fuel,-23.5923032,-46.6482904,BR
Restaurante Ches,Restaurante Ches,restaurant,-23.5569597,-46.750093,BR
choperia siri bar,choperia siri bar,restaurant,-23.5373131,-46.6843487,BR
Horiginal Modelismo,Horiginal Modelismo,hobby;*,-23.5404151,-46.6511328,BR
Posto Atacadão,Posto Atacadão,fuel,-23.5376117,-46.5812395,BR
Speed Fly Modelismo,Speed Fly Modelismo,toys,-23.5465065,-46.5646782,BR
Santa Panela espetinhos,Santa Panela espetinhos,restaurant,-23.5528955,-46.5647469,BR
Sachinha,Sachinha,restaurant,-23.5508642,-46.6967618,BR
El Kabong Grill,El Kabong Grill,restaurant,-23.5657001,-46.6834399,BR
Hipermercado Zaffari,Hipermercado Zaffari,supermarket,-23.5270296,-46.6806689,BR
Volvo Vocal,Volvo Vocal,car,-23.5072782,-46.7036196,BR
Rycoy Supermercado,Rycoy Supermercado,supermarket,-23.6525319,-46.7337329,BR
Sonho Árabe,Sonho Árabe,restaurant,-23.6313559,-46.7057252,BR
Casa do Pão de Queijo,Casa do Pão de Queijo,cafe,-23.5135921,-46.6546907,BR
Sonda Hipermercado,Sonda Hipermercado,supermarket,-23.5252608,-46.5467876,BR
Maria Cereja,Maria Cereja,bakery,-23.4610225,-46.5280729,BR
Maria Paula Bar e Restaurante,Maria Paula Bar e Restaurante,restaurant,-23.5520829,-46.6383065,BR
Tanka,Tanka,restaurant,-23.555258,-46.6351745,BR
Ikesaki Cosméticos,Ikesaki Cosméticos,cosmetics,-23.5542083,-46.635576,BR
Carrefour Express,Carrefour Express,convenience,-23.5530529,-46.6349356,BR
Marisa,Marisa,clothes,-23.5480751,-46.6360482,BR
Rei do Mate,Rei do Mate,cafe,-23.5428079,-46.6391582,BR
BMW,BMW,car,-23.5511165,-46.5674564,BR
Mori Sushi,Mori Sushi,restaurant,-23.5630465,-46.6708263,BR
Casa das Essencias,Casa das Essencias,chemist,-23.5516637,-46.6304296,BR
Oficina Mecanica,Oficina Mecanica,car_repair,-23.552099,-46.6280791,BR
Açougue,Açougue,butcher,-23.5525049,-46.6275166,BR
Mercadinho,Mercadinho,supermarket,-23.5524103,-46.6275785,BR
Banca,Banca,newsagent,-23.5523307,-46.6275927,BR
Posto Maserati,Posto Maserati,fuel,-23.5474499,-46.626073,BR
Posto Shell - Auto Posto Arinella Brooklin Ltda,Posto Shell - Auto Posto Arinella Brooklin Ltda,fuel,-23.6298095,-46.6871084,BR
Zero Bala Auto Posto,Zero Bala Auto Posto,fuel,-23.6232771,-46.6826387,BR
Pobre Juan,Pobre Juan,restaurant,-23.5937983,-46.6778126,BR
Ekoa Café,Ekoa Café,cafe,-23.5592263,-46.6891582,BR
Sacolão Saúde,Sacolão Saúde,supermarket,-23.5369328,-46.65159,BR
Pizzaria Leonna,Pizzaria Leonna,restaurant,-23.6241305,-46.679635,BR
AR Motors Renault,AR Motors Renault,car,-23.6624357,-46.7102201,BR
Juanita,Juanita,restaurant,-23.5579392,-46.663391,BR
Americanas Express,Americanas Express,department_store,-23.5603068,-46.6379515,BR
Alfaiataria Magnata,Alfaiataria Magnata,tailor,-23.5544603,-46.6295045,BR
Mercadinho En Qin,Mercadinho En Qin,market,-23.5546066,-46.6287111,BR
Mercedes-Benz Servicos,Mercedes-Benz Servicos,car_repair,-23.5550906,-46.6286281,BR
Dia,Dia,supermarket,-23.5402673,-46.6506528,BR
Petz,Petz,doityourself,-23.5575207,-46.5717945,BR
Mercado Extra,Mercado Extra,supermarket,-23.5438102,-46.5575259,BR
Espaço X,Espaço X,utilities,-23.5492813,-46.5634852,BR
Pomar da Vila,Pomar da Vila,greengrocer,-23.533988,-46.5658757,BR
Degas Restaurante e Churascaria,Degas Restaurante e Churascaria,restaurant,-23.5566344,-46.6760952,BR
Santa Gema,Santa Gema,supermarket,-23.6013061,-46.6439567,BR
Dinos,Dinos,restaurant,-23.5967934,-46.6423796,BR
Veneza,Veneza,restaurant,-23.597645,-46.6424628,BR
Bela Madalena,Bela Madalena,bakery,-23.5498087,-46.683097,BR
Merceira São Pedro,Merceira São Pedro,restaurant,-23.5503074,-46.6896958,BR
Santa Marta Pães,Santa Marta Pães,bakery,-23.5476092,-46.6891653,BR
Excellence Bar e Restaurante,Excellence Bar e Restaurante,restaurant,-23.5571585,-46.6755567,BR
Obsessão,Obsessão,restaurant,-23.4885123,-46.749261,BR
Shopia,Shopia,restaurant,-23.5543387,-46.6763723,BR
Canto Madalena,Canto Madalena,restaurant,-23.5534694,-46.6857999,BR
Pão de Açúcar,Pão de Açúcar,supermarket,-23.5372244,-46.6782558,BR
Morro da Villa Bar e Restaurante‎,Morro da Villa Bar e Restaurante‎,restaurant,-23.5530479,-46.6883078,BR
Jacaré Grill‎,Jacaré Grill‎,restaurant,-23.5553763,-46.6880427,BR
Matterello Pau de Macarrão‎,Matterello Pau de Macarrão‎,restaurant,-23.5581626,-46.6885148,BR
Pizzaria Pizzabella‎,Pizzaria Pizzabella‎,restaurant,-23.5533916,-46.6884007,BR
Deliparis‎,Deliparis‎,convenience,-23.5539938,-46.6887695,BR
ST. Etiene,ST. Etiene,bakery,-23.5523057,-46.6901706,BR
Padaria Rodésia,Padaria Rodésia,bakery,-23.5508777,-46.6901345,BR
econ,econ,supermarket,-23.5882375,-46.6305984,BR
Restaurante Donatela,Restaurante Donatela,restaurant,-23.6256776,-46.6851401,BR
Kopenhagen,Kopenhagen,chocolate,-23.623071,-46.6823715,BR
As Véia - O Velhão,As Véia - O Velhão,restaurant,-23.4299863,-46.6567175,BR
Galeria Barão,Galeria Barão,clothes,-23.5584929,-46.635445,BR
VIP Store,VIP Store,clothes,-23.5582384,-46.6351721,BR
Soho Profissional,Soho Profissional,hairdresser,-23.5656925,-46.6532729,BR
Lavanderia Lavíssima,Lavanderia Lavíssima,laundry,-23.5701433,-46.6530701,BR
Restaurante Sinha'na,Restaurante Sinha'na,restaurant,-23.5720041,-46.656532,BR
Nobar,Nobar,restaurant,-23.5731694,-46.6577096,BR
Carnes Florida,Carnes Florida,butcher,-23.5732236,-46.657738,BR
Restaurante Trattoria do Pietro,Restaurante Trattoria do Pietro,restaurant,-23.5743125,-46.6587299,BR
Livraria Martins Fontes,Livraria Martins Fontes,books,-23.5682361,-46.6486354,BR
Cabeleireiros Junkos Hair Design,Cabeleireiros Junkos Hair Design,hairdresser,-23.568465,-46.6489945,BR
Lavanderia My Landry,Lavanderia My Landry,laundry,-23.5688603,-46.6490758,BR
Washoi,Washoi,restaurant,-23.5686122,-46.649197,BR
Restaurante Diner´s,Restaurante Diner´s,restaurant,-23.5689928,-46.6491029,BR
Baroni,Baroni,shoes,-23.568465,-46.6491709,BR
Natural Da Terra,Natural Da Terra,supermarket,-23.5695453,-46.6494263,BR
Restaurante Natural,Restaurante Natural,restaurant,-23.5703788,-46.6484915,BR
Cabeleleiros New Century,Cabeleleiros New Century,hairdresser,-23.56942,-46.6490638,BR
Bomboniére,Bomboniére,confectionery,-23.569313,-46.6492,BR
Restaurante Comida Chinesa,Restaurante Comida Chinesa,restaurant,-23.5682526,-46.6502366,BR
New Hair,New Hair,hairdresser,-23.5674189,-46.6516403,BR
Starbucks,Starbucks,cafe,-23.5659178,-46.6530161,BR
La Cabaleriza,La Cabaleriza,restaurant,-23.5660082,-46.6535446,BR
Alfajores Itati,Alfajores Itati,confectionery,-23.5699902,-46.6516763,BR
Teca,Teca,hairdresser,-23.5698577,-46.6521874,BR
Rotisserie Santa Gema,Rotisserie Santa Gema,restaurant,-23.5702482,-46.6547807,BR
Fran's Café,Fran's Café,cafe,-23.5698287,-46.6567898,BR
Lavanderia Affinité,Lavanderia Affinité,laundry,-23.5702634,-46.6573109,BR
Restaurante Orange,Restaurante Orange,restaurant,-23.57033,-46.656999,BR
Pizzaria Delluccio,Pizzaria Delluccio,restaurant,-23.5710717,-46.6564156,BR
Posto Shell - Centro Automotivo Água Espraiada Ltda,Posto Shell - Centro Automotivo Água Espraiada Ltda,fuel,-23.6274613,-46.6748607,BR
Amazonas,Amazonas,car,-23.6194289,-46.6967871,BR
Jaguar,Jaguar,car,-23.6196472,-46.697662,BR
Hyundai,Hyundai,car,-23.6192379,-46.6975206,BR
Kennel Club,Kennel Club,pet,-23.6278846,-46.6933633,BR
Santa Marcelina,Santa Marcelina,restaurant,-23.6336574,-46.6908932,BR
Bexp Jeep Brooklin,Bexp Jeep Brooklin,car,-23.6188248,-46.6968821,BR
Renault,Renault,car,-23.6216797,-46.6894332,BR
ampm,ampm,convenience,-23.5930986,-46.6370091,BR
Cantina D'elia,Cantina D'elia,restaurant,-23.4835507,-46.5423053,BR
Dallas Churrascaria,Dallas Churrascaria,restaurant,-23.4688951,-46.5214389,BR
C&A,C&A,clothes,-23.4704246,-46.5304405,BR
Carrefour,Carrefour,supermarket,-23.6136649,-46.7755645,BR
Quiosque,Quiosque,kiosk,-23.6061043,-46.7193679,BR
Barello Burguer,Barello Burguer,restaurant,-23.5246382,-46.7328202,BR
Padaria Dona Deola,Padaria Dona Deola,bakery,-23.5402542,-46.690438,BR
Bicicletaria do Luciano,Bicicletaria do Luciano,bicycle,-23.5703287,-46.7258775,BR
Telhanorte,Telhanorte,hardware,-23.6192226,-46.6286053,BR
Cantinho do Meio Dia,Cantinho do Meio Dia,restaurant,-23.6079194,-46.7562283,BR
Leroy Merlin,Leroy Merlin,doityourself,-23.609476,-46.5643795,BR
Fiat,Fiat,car,-23.6057843,-46.5684469,BR
BMW Autostar,BMW Autostar,car,-23.6005933,-46.6780401,BR
Padaria Leiriense,Padaria Leiriense,bakery,-23.6055093,-46.6927139,BR
Ford CAOA,Ford CAOA,car,-23.6236078,-46.6401213,BR
Cheirin Bão,Cheirin Bão,cafe,-23.634987,-46.7118861,BR
Padaria Samara,Padaria Samara,bakery,-23.6394205,-46.5543596,BR
Prueba,Prueba,restaurant,-23.5520663,-46.64585,BR
Sete Mares,Sete Mares,restaurant,-23.6451385,-46.5751014,BR
Bandejão EACH,Bandejão EACH,restaurant,-23.4817222,-46.5011301,BR
Café e Arte,Café e Arte,restaurant,-23.5506396,-46.6239852,BR
China da Serra,China da Serra,restaurant,-23.6076052,-46.7546109,BR
Gaúchos Bar & Restaurante,Gaúchos Bar & Restaurante,restaurant,-23.6077122,-46.7547678,BR
Conjunto Comercial Maria Cunha,Conjunto Comercial Maria Cunha,convenience,-23.6067942,-46.7541388,BR
Cristal Automóveis,Cristal Automóveis,car,-23.6070596,-46.7544017,BR
Restaurante Komilão,Restaurante Komilão,restaurant,-23.6040711,-46.7505981,BR
Casas Bahia,Casas Bahia,convenience,-23.6084901,-46.7552491,BR
Mascarino,Mascarino,restaurant,-23.5895476,-46.629629,BR
Eletro Idasa,Eletro Idasa,doityourself,-23.54066,-46.5577412,BR
Supermercado Real,Supermercado Real,supermarket,-23.4724428,-46.7423819,BR
Zazou Moda Gestante,Zazou Moda Gestante,clothes,-23.6004532,-46.6634489,BR
Padaria Caiubi,Padaria Caiubi,bakery,-23.6844381,-46.5392872,BR
Padaria Paraíso,Padaria Paraíso,bakery,-23.673999,-46.534377,BR
Padaria Jardim Oriental,Padaria Jardim Oriental,bakery,-23.6870112,-46.5352593,BR
Tent Beach,Tent Beach,clothes,-23.6623261,-46.5299742,BR
Bela Paraíso,Bela Paraíso,bakery,-23.6809183,-46.5426885,BR
Padaria Pilar,Padaria Pilar,bakery,-23.6768714,-46.543585,BR
Sacolão Bidu,Sacolão Bidu,greengrocer,-23.6616802,-46.7795267,BR
Padaria e Pizzaria;Nova Fantástica,Padaria e Pizzaria;Nova Fantástica,bakery,-23.6616586,-46.7797444,BR
C&C,C&C,general,-23.6340863,-46.6283369,BR
Estância Churrascaria,Estância Churrascaria,restaurant,-23.5390446,-46.7739818,BR
Rincão Gaúcho Grill,Rincão Gaúcho Grill,restaurant,-23.540097,-46.7707846,BR
Koban,Koban,restaurant,-23.6019727,-46.6624822,BR
Saga supermercado,Saga supermercado,supermarket,-23.55457,-46.6475706,BR
Mini Mercado Extra,Mini Mercado Extra,convenience,-23.547662,-46.6458516,BR
Pneu Asturia,Pneu Asturia,tyres,-23.5409049,-46.7012521,BR
Supermercado Bom Vizinho,Supermercado Bom Vizinho,convenience,-23.5356548,-46.7022009,BR
Celeste,Celeste,convenience,-23.5372407,-46.7063805,BR
Leticia,Leticia,bakery,-23.5400246,-46.7043281,BR
Na Moral Restaurante,Na Moral Restaurante,restaurant,-23.608311,-46.6027307,BR
Padaria Estela,Padaria Estela,bakery,-23.6790984,-46.5344736,BR
Casa Anro,Anro House,restaurant,-23.5871151,-46.6409433,BR
Centro Acadêmico Mecânica,Centro Acadêmico Mecânica,alcohol,-23.55293,-46.7291189,BR
Cantina D'Amico Piolin,Cantina D'Amico Piolin,restaurant,-23.5510136,-46.6490556,BR
Soroko,Soroko,ice_cream,-23.5509945,-46.6489897,BR
Famiglia Moretti,Famiglia Moretti,restaurant,-23.6058938,-46.618681,BR
Algarve Padaria,Algarve Padaria,bakery,-23.466885,-46.6400197,BR
Depósito Caiubi,Depósito Caiubi,doityourself,-23.6836036,-46.5400441,BR
Mercadinho São Sebastião,Mercadinho São Sebastião,supermarket,-23.6837381,-46.5399429,BR
Vila Florença,Vila Florença,bakery,-23.5789245,-46.6288611,BR
Top Center Shopping,Top Center Shopping,mall,-23.5658304,-46.6508381,BR
Supermercado Rod&Raf,Supermercado Rod&Raf,supermarket,-23.6002344,-46.7953291,BR
Aerobeer,Aerobeer,restaurant,-23.6244732,-46.6627979,BR
5àsec,5àsec,dry_cleaning,-23.558952,-46.569129,BR
Issa,Issa,car,-23.558883,-46.568825,BR
No Carvão,No Carvão,restaurant,-23.5697743,-46.5874652,BR
Makis Temakeria,Makis Temakeria,restaurant,-23.6329118,-46.6917801,BR
O Mourisco Pizzaria,O Mourisco Pizzaria,restaurant,-23.6446596,-46.7032002,BR
Empório São Pedro,Empório São Pedro,convenience,-23.5881009,-46.7391163,BR
Sacolão Butantã,Sacolão Butantã,greengrocer,-23.5890243,-46.7376957,BR
Muralhas Grill,Muralhas Grill,restaurant,-23.5871674,-46.7370388,BR
Padaria Maria da Fonte,Padaria Maria da Fonte,bakery,-23.5871585,-46.737011,BR
Supermercado Extra,Supermercado Extra,supermarket,-23.6116455,-46.6284905,BR
Bar da Piscina,Bar da Piscina,restaurant,-23.5947018,-46.6522327,BR
Ciclo A3,Ciclo A3,bicycle,-23.5658655,-46.5889084,BR
Sushi da Moka,Sushi da Moka,restaurant,-23.5686408,-46.5885151,BR
Aveiro,Aveiro,bakery,-23.6407891,-46.6672546,BR
Piriquito,Piriquito,bakery,-23.6459882,-46.6637999,BR
Bom Sabor,Bom Sabor,restaurant,-23.6243754,-46.6625207,BR
Churrascaria Savana,Churrascaria Savana,restaurant,-23.6243068,-46.6619786,BR
Gopala Mãdahva,Gopala Mãdahva,restaurant,-23.5560353,-46.6586169,BR
Street Cafe,Street Cafe,cafe,-23.6139753,-46.5717738,BR
Restaurante Formosa,Restaurante Formosa,restaurant,-23.6131004,-46.5718167,BR
Paralelo 19,Paralelo 19,restaurant,-23.6142849,-46.5713393,BR
Auto Posto Santa Clara de Assis,Auto Posto Santa Clara de Assis,fuel,-23.4717115,-46.705914,BR
Extra Supermercados,Extra Supermercados,supermarket,-23.4760563,-46.7035,BR
Supermercados Dia,Supermercados Dia,supermarket,-23.4767008,-46.7042671,BR
Padaria Cigana,Padaria Cigana,bakery,-23.4878647,-46.6977762,BR
Supermercado Takara,Supermercado Takara,supermarket,-23.4845936,-46.7006968,BR
Padaria Manhattan,Padaria Manhattan,bakery,-23.6121194,-46.6791748,BR
Tennessee,Tennessee,butcher,-23.6130385,-46.6800063,BR
Alô Bêbe,Alô Bêbe,toys,-23.6099026,-46.6869264,BR
Uffizi,Uffizi,restaurant,-23.6140806,-46.6819643,BR
Origami Sushi,Origami Sushi,restaurant,-23.6149991,-46.5705719,BR
Beto's Supermercado,Beto's Supermercado,supermarket,-23.4336759,-46.7145275,BR
Sonda Supermercado,Sonda Supermercado,supermarket,-23.5820894,-46.5926246,BR
Padaria Maria Luiza,Padaria Maria Luiza,bakery,-23.5715115,-46.5904587,BR
Pizzaria San Carlo,Pizzaria San Carlo,restaurant,-23.5782691,-46.5862801,BR
Fran's Cafe,Fran's Cafe,cafe,-23.5788223,-46.5866206,BR
Pizzaria O Glutão,Pizzaria O Glutão,restaurant,-23.5782729,-46.5872695,BR
Mecânica Giovanni's,Mecânica Giovanni's,car_repair,-23.5781978,-46.587538,BR
Juventos,Juventos,restaurant,-23.5773625,-46.5916788,BR
Foschini Veiculos,Foschini Veiculos,car,-23.5728138,-46.5886061,BR
Padaria Monte Líbano,Padaria Monte Líbano,bakery,-23.5652343,-46.5948972,BR
Studio Kelly,Studio Kelly,beauty,-23.5739298,-46.5872435,BR
Yamauchi,Yamauchi,supermarket,-23.5664223,-46.597925,BR
Pizzaria São Pedro,Pizzaria São Pedro,restaurant,-23.5541192,-46.6027853,BR
Poncho Verde,Poncho Verde,restaurant,-23.6265494,-46.7368655,BR
Sacolão da Saude,Sacolão da Saude,supermarket,-23.6307664,-46.6047713,BR
Terra Roxa,Terra Roxa,restaurant,-23.5705398,-46.6984329,BR
Urbe Café,Urbe Café,cafe,-23.5560155,-46.6584189,BR
Hamburgueria 162,Hamburgueria 162,restaurant,-23.5568208,-46.6590068,BR
Augusta Bakery St.,Augusta Bakery St.,restaurant,-23.5521679,-46.6530923,BR
Panificadora Gold - Since 1982 - Tradição e Qualidade,Panificadora Gold - Since 1982 - Tradição e Qualidade,bakery,-23.6110649,-46.6206336,BR
Padaria Karina,Padaria Karina,bakery,-23.6221777,-46.5330186,BR
Padaria Utinga,Padaria Utinga,bakery,-23.6226291,-46.538975,BR
Supermercado Yamauchi,Supermercado Yamauchi,supermarket,-23.5963456,-46.5748192,BR
Fiorella,Fiorella,bakery,-23.6026981,-46.6178521,BR
Padaria São José,Padaria São José,bakery,-23.6053543,-46.574746,BR
Monte Blanco,Monte Blanco,bakery,-23.6260222,-46.6190165,BR
Nahamalho,Nahamalho,restaurant,-23.5331194,-46.6773515,BR
Olivo Espetu's bar,Olivo Espetu's bar,restaurant,-23.5339183,-46.6729498,BR
Tânia's Cafe,Tânia's Cafe,cafe,-23.5341983,-46.6725904,BR
Sushibol,Sushibol,restaurant,-23.5367844,-46.6687367,BR
Nova Charmosa,Nova Charmosa,bakery,-23.5356725,-46.6704075,BR
Casa dos Filtros,Casa dos Filtros,hardware,-23.5350878,-46.6712879,BR
Le Pain Quotidien,Le Pain Quotidien,cafe,-23.5830802,-46.6813934,BR
Garden's,Garden's,hairdresser,-23.5700939,-46.6593223,BR
Agatha Cabeleireiros,Agatha Cabeleireiros,hairdresser,-23.5699551,-46.6592287,BR
Posto de Gasolina Brasão,Posto de Gasolina Brasão,fuel,-23.5228416,-46.514952,BR
Padaria Vitória Régia,Padaria Vitória Régia,bakery,-23.674545,-46.5131567,BR
Merquatro Mini Mercado,Merquatro Mini Mercado,convenience,-23.6776886,-46.5104262,BR
Multicoisas,Multicoisas,doityourself,-23.6138546,-46.7411681,BR
Daytona Carnes,Daytona Carnes,butcher,-23.6135744,-46.7427228,BR
Sacolão do Morumbi,Sacolão do Morumbi,greengrocer,-23.615086,-46.7403467,BR
Panificadora e Confeitaria Nobre Pão Ltda.,Panificadora e Confeitaria Nobre Pão Ltda.,bakery,-23.6322537,-46.6046353,BR
Padaria Charme,Padaria Charme,bakery,-23.5879874,-46.6427407,BR
Extra Supermercado,Extra Supermercado,supermarket,-23.5577098,-46.6400676,BR
Casa Lotérica,Casa Lotérica,lottery,-23.5520237,-46.6339313,BR
Coop - Cooperativa de Consumo,Coop - Cooperativa de Consumo,supermarket,-23.6754876,-46.5226735,BR
Zelia Carvalho Modas,Zelia Carvalho Modas,clothes,-23.596158,-46.5717821,BR
Karen Padaria,Karen Padaria,bakery,-23.5981196,-46.5708303,BR
Nakato Sushi Restaurante,Nakato Sushi Restaurante,restaurant,-23.5961654,-46.5722729,BR
Mercearia do Alto,Mercearia do Alto,restaurant,-23.6445184,-46.6969172,BR
Supermercado Lopesa,Supermercado Lopesa,supermarket,-23.5479,-46.7762604,BR
Açougue Torrão,Açougue Torrão,butcher,-23.5481655,-46.776534,BR
Pimenta Verde,Pimenta Verde,restaurant,-23.6074323,-46.6950648,BR
Nicecup,Nicecup,cafe,-23.5936667,-46.6246335,BR
Tutta Gula,Tutta Gula,restaurant,-23.6064819,-46.6919521,BR
Los 3 Amigos,Los 3 Amigos,restaurant,-23.6042045,-46.6662238,BR
Tantra,Tantra,restaurant,-23.5943447,-46.6829915,BR
